,Company Name,Salary_USD,Rating
600,Allin Info Systems,1204,3.3
601,Allindia Technologies,6022,3.4
602,Allscripts,20473,3.9
603,Allstate,7226,3.5
604,Allstate India,6623,4.2
605,Alltel,6022,4.0
606,Allvy Software Solutions,5226,4.0
607,Ally.io,2409,4.7
608,Allyis,7226,3.8
609,AlmaBetter,13296,4.3
610,Almabase,26495,5.0
611,Almana Medical Imaging,2023,3.0
612,Almasons,4817,4.4
613,Alobha Technologies,3107,4.4
614,Aloha Technology,4528,3.7
615,Alok Kumar Sahoo,9635,4.0
616,Alopa Infotech,6022,4.6
617,Alorb Tech,723,4.0
618,Alorica,2168,3.2
619,Alpha Business Solutions,7081,4.0
620,Alpha Customer Care,1734,2.0
621,Alpha Design Technologies,4914,3.7
622,Alpha Systems (India),6648,2.9
623,Alpha-Numero,7226,4.7
624,AlphaSights,2601,4.0
625,Alphalogic,3179,3.0
626,Alphavrna Technologies,7226,4.0
627,Alpine Software,6022,3.2
628,Alpinesoft,7226,4.0
629,AltBird,1445,2.3
630,Altair Engineering,10036,4.233333333333333
631,Altima Technologies,7370,1.5
632,Altimetrik,12255,4.3
633,Altisource,9981,3.3
634,Altivo Information Technologies,6022,4.1
635,Altivon,3902,3.8
636,Altizone Info Solutions,7226,4.5
637,Altorum Leren,3251,3.8
638,AltraDimension,4672,4.3
639,Altran Corporation,2409,3.4
640,Altran Technologies,3179,3.2
641,Altudo,3974,4.2
642,Alvaria,16860,3.3
643,Alyssum Global Services,4191,5.0
644,Amadeus,9594,3.9
645,Amagi,15054,4.6
646,Amalgamated Security Services,15656,3.3
647,Aman,2023,4.0
648,Amanasu Environment,4817,4.2
649,Amano USA Holdings,4817,3.3
650,Amantya Technologies,8028,4.233333333333333
651,Amapa,12043,4.1
652,Amara Raja,5813,4.0
653,Amara Raja Power Systems,4817,3.5
654,Amaris Consulting,4721,3.7
655,Amazatic,9032,4.8
656,Amaze Software Tech,4817,5.0
657,Amazin Automation Solution,2168,3.3
658,Amazing Lash Studio,12043,3.1
659,"Amazing Pictures / Colorvision International, Inc.",16860,3.2
660,Amazon,14225,3.8
661,Amazon Flex,6484,3.6
662,Amazon India,27699,3.9
663,Amazon Lab126,22130,3.7
664,Amazon Payment Services,8382,3.6
665,Amazon Prime Now,15318,3.5
