id,total,to_distribute,n_elements,std_div_mod,len_votes,mean_dev
5158, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5159, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5160, 35.0, 35, 611.0, 16.7746, 4, 0.0037
5161, 35.0, 35, 612.0, 16.8732, 4, 0.0033
5162, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5163, 35.0, 35, 615.0, 17.0962, 4, 0.0014
5164, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5165, 33.0, 35, 614.0, 17.0000042, 4, 0.0012
5166, 35.0, 35, 610.0, 16.9936, 4, 0.002
5167, 35.0, 35, 609.0, 16.878, 4, 0.0021
5168, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5169, 35.0, 35, 615.0, 17.0962, 4, 0.0006
5170, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5171, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
5172, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5173, 35.0, 35, 617.0, 17.1006, 4, 0.002
5174, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
5175, 35.0, 35, 612.0, 16.8732, 4, 0.0025
5176, 35.0, 35, 603.0, 16.7642, 4, 0.0006
5177, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5178, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5179, 35.0, 35, 609.0, 16.878, 4, 0.0014
5180, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5181, 34.0, 35, 604.0, 16.6666712, 4, 0.0017
5182, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5183, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5184, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5185, 35.0, 35, 611.0, 16.8796, 4, 0.002
5186, 35.0, 35, 613.0, 16.9893, 4, 0.0014
5187, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5188, 34.0, 35, 609.0, 16.7777832, 4, 0.0021
5189, 35.0, 35, 607.0, 16.772, 4, 0.0021
5190, 35.0, 35, 613.0, 16.9893, 4, 0.0029
5191, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5192, 33.0, 35, 613.0, 17.0000052, 4, 0.0006
5193, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5194, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5195, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
5196, 34.0, 35, 609.0, 16.6666712, 4, 0.0037
5197, 35.0, 35, 613.0, 16.8843, 4, 0.0029
5198, 34.0, 35, 603.0, 16.6666722, 4, 0.0012
5199, 35.0, 35, 613.0, 17.0943, 4, 0.0018
5200, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5201, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5202, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5203, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5204, 35.0, 35, 614.0, 16.9829, 4, 0.0016
5205, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5206, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5207, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5208, 34.0, 35, 608.0, 16.7777822, 4, 0.0016
5209, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5210, 34.0, 35, 609.0, 16.7777832, 4, 0.0023
5211, 35.0, 35, 612.0, 17.1007, 4, 0.0025
5212, 35.0, 35, 617.0, 17.1006, 4, 0.0014
5213, 34.0, 35, 616.0, 17.0000053, 4, 0.0016
5214, 35.0, 35, 612.0, 16.8732, 4, 0.0025
5215, 33.0, 35, 615.0, 17.0000043, 4, 0.0018
5216, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5217, 35.0, 35, 603.0, 16.7642, 4, 0.0006
5218, 34.0, 35, 602.0, 16.6666711, 4, 0.0008
5219, 35.0, 35, 618.0, 17.1084, 4, 0.0016
5220, 32.0, 35, 612.0, 17.0000042, 4, 0.0
5221, 35.0, 35, 607.0, 16.772, 4, 0.0027
5222, 35.0, 35, 615.0, 17.0962, 4, 0.0006
5223, 35.0, 35, 613.0, 16.9893, 4, 0.002
5224, 35.0, 35, 616.0, 17.1072, 4, 0.0024
5225, 34.0, 35, 613.0, 16.8888932, 4, 0.002
5226, 33.0, 35, 605.0, 16.7777822, 4, 0.0006
5227, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5228, 35.0, 35, 611.0, 16.8796, 4, 0.0029
5229, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5230, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5231, 34.0, 35, 610.0, 16.6666722, 4, 0.0041
5232, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5233, 32.0, 35, 616.0, 17.1111173, 4, 0.0
5234, 33.0, 35, 604.0, 16.6666712, 4, 0.0025
5235, 35.0, 35, 614.0, 17.1054, 4, 0.002
5236, 35.0, 35, 614.0, 16.9829, 4, 0.0033
5237, 35.0, 35, 613.0, 16.9893, 4, 0.002
5238, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
5239, 35.0, 35, 615.0, 16.885, 4, 0.0037
5240, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5241, 35.0, 35, 615.0, 17.0962, 4, 0.0006
5242, 34.0, 35, 605.0, 16.6666722, 4, 0.0023
5243, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5244, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5245, 35.0, 35, 616.0, 17.1072, 4, 0.0024
5246, 35.0, 35, 613.0, 16.7618, 4, 0.0045
5247, 35.0, 35, 604.0, 16.7727, 4, 0.0008
5248, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5249, 35.0, 35, 610.0, 16.9936, 4, 0.002
5250, 35.0, 35, 610.0, 16.7674, 4, 0.0033
5251, 35.0, 35, 614.0, 16.9829, 4, 0.0016
5252, 35.0, 35, 607.0, 16.772, 4, 0.0021
5253, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5254, 34.0, 35, 616.0, 17.0000053, 4, 0.0016
5255, 35.0, 35, 609.0, 16.9998, 4, 0.0018
5256, 35.0, 35, 615.0, 17.0962, 4, 0.0014
5257, 34.0, 35, 606.0, 16.6666712, 4, 0.0029
5258, 35.0, 35, 613.0, 16.9893, 4, 0.0012
5259, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5260, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5261, 34.0, 35, 603.0, 16.6666722, 4, 0.0012
5262, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5263, 35.0, 35, 607.0, 16.772, 4, 0.0021
5264, 35.0, 35, 610.0, 16.7674, 4, 0.0033
5265, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5266, 35.0, 35, 607.0, 16.772, 4, 0.0027
5267, 35.0, 35, 609.0, 16.9998, 4, 0.0018
5268, 35.0, 35, 611.0, 16.8796, 4, 0.002
5269, 34.0, 35, 613.0, 16.8888932, 4, 0.002
5270, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5271, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5272, 33.0, 35, 603.0, 16.6666722, 4, 0.0019
5273, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5274, 35.0, 35, 613.0, 16.9893, 4, 0.002
5275, 34.0, 35, 605.0, 16.6666722, 4, 0.0021
5276, 35.0, 35, 611.0, 16.8796, 4, 0.002
5277, 35.0, 35, 616.0, 16.984, 4, 0.0024
5278, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5279, 35.0, 35, 610.0, 16.9936, 4, 0.002
5280, 35.0, 35, 603.0, 16.7642, 4, 0.0006
5281, 35.0, 35, 610.0, 16.8718, 4, 0.0016
5282, 34.0, 35, 606.0, 16.6666712, 4, 0.0029
5283, 33.0, 35, 618.0, 17.1111173, 4, 0.0012
5284, 35.0, 35, 611.0, 16.8796, 4, 0.002
5285, 34.0, 35, 608.0, 16.6666722, 4, 0.0033
5286, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5287, 35.0, 35, 619.0, 17.2078, 4, 0.0014
5288, 35.0, 35, 613.0, 16.8843, 4, 0.0029
5289, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5290, 34.0, 35, 613.0, 16.7777832, 4, 0.0037
5291, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5292, 35.0, 35, 611.0, 16.8796, 4, 0.002
5293, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5294, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5295, 34.0, 35, 609.0, 16.7777832, 4, 0.0021
5296, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5297, 35.0, 35, 609.0, 16.878, 4, 0.0012
5298, 35.0, 35, 614.0, 16.9829, 4, 0.0024
5299, 34.0, 35, 605.0, 16.6666722, 4, 0.0023
5300, 34.0, 35, 608.0, 16.6666722, 4, 0.0033
5301, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5302, 35.0, 35, 612.0, 16.9957, 4, 0.0016
5303, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5304, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
5305, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5306, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5307, 35.0, 35, 611.0, 16.7746, 4, 0.0037
5308, 35.0, 35, 614.0, 17.1054, 4, 0.0029
5309, 34.0, 35, 606.0, 16.6666712, 4, 0.0025
5310, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5311, 35.0, 35, 609.0, 16.9998, 4, 0.0018
5312, 35.0, 35, 606.0, 16.7607, 4, 0.0021
5313, 35.0, 35, 616.0, 17.1072, 4, 0.0008
5314, 35.0, 35, 607.0, 16.8758, 4, 0.0014
5315, 35.0, 35, 606.0, 16.7607, 4, 0.0017
5316, 35.0, 35, 611.0, 16.9846, 4, 0.0023
5317, 35.0, 35, 617.0, 17.1006, 4, 0.0012
5318, 35.0, 35, 617.0, 17.1006, 4, 0.0014
5319, 33.0, 35, 608.0, 16.7777822, 4, 0.0025
5320, 34.0, 35, 611.0, 16.8888932, 4, 0.0012
5321, 35.0, 35, 612.0, 16.9957, 4, 0.0025
5322, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5323, 35.0, 35, 612.0, 16.9957, 4, 0.0008
5324, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5325, 35.0, 35, 608.0, 16.8842, 4, 0.0016
5326, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
5327, 35.0, 35, 609.0, 16.878, 4, 0.0014
5328, 35.0, 35, 609.0, 16.878, 4, 0.0021
5329, 34.0, 35, 615.0, 17.0000043, 4, 0.0012
5330, 34.0, 35, 609.0, 16.7777832, 4, 0.0021
5331, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5332, 35.0, 35, 611.0, 16.9846, 4, 0.0014
5333, 34.0, 35, 610.0, 16.7777822, 4, 0.0025
5334, 35.0, 35, 610.0, 16.7674, 4, 0.0033
5335, 35.0, 35, 614.0, 16.9829, 4, 0.002
5336, 35.0, 35, 613.0, 16.8843, 4, 0.0037
5337, 35.0, 35, 603.0, 16.7642, 4, 0.0006
5338, 34.0, 35, 612.0, 16.7777822, 4, 0.0033
5339, 35.0, 35, 608.0, 16.7624, 4, 0.0025
5340, 34.0, 35, 611.0, 16.7777832, 4, 0.0029
5341, 34.0, 35, 607.0, 16.6666722, 4, 0.0029
5342, 35.0, 35, 609.0, 16.7736, 4, 0.0029
5343, 33.0, 35, 607.0, 16.7777822, 4, 0.0019
5344, 35.0, 35, 607.0, 16.772, 4, 0.0021
5345, 35.0, 35, 614.0, 17.1054, 4, 0.002
5346, 34.0, 35, 611.0, 16.7777832, 4, 0.0029
5347, 35.0, 35, 607.0, 16.772, 4, 0.0021
5348, 35.0, 35, 615.0, 16.9906, 4, 0.0028
